Species	JanWk1	JanWk2	JanWk3	JanWk4	FebWk1	FebWk2	FebWk3	FebWk4	MarWk1	MarWk2	MarWk3	MarWk4	AprWk1	AprWk2	AprWk3	AprWk4	MayWk1	MayWk2	MayWk3	MayWk4	JunWk1	JunWk2	JunWk3	JunWk4	JulWk1	JulWk2	JulWk3	JulWk4	AugWk1	AugWk2	AugWk3	AugWk4	SepWk1	SepWk2	SepWk3	SepWk4	OctWk1	OctWk2	OctWk3	OctWk4	NovWk1	NovWk2	NovWk3	NovWk4	DecWk1	DecWk2	DecWk3	DecWk4	State
Emperor Goose	0.0182236	0.0225325	0.0154889	0.0172144	0.0183946	0.0150721	0.013533	0.0139477	0.0210599	0.0129961	0.0172518	0.0175587	0.0132365	0.0148272	0.0143341	0.0129275	0.0104976	0.0115553	0.0161563	0.0205266	0.0235518	0.0098838	0.0064948	0.0049362	0.0043825	0.0034167	0.0027032	0.0024225	0.0025268	0.0014201	0.0038534	0.0135971	0.0279193	0.0351229	0.0434521	0.0585768	0.0518144	0.0436478	0.0393182	0.0304118	0.0183691	0.0196839	0.0179175	0.0155591	0.0188611	0.021645	0.0220898	0.025795	AK
Snow Goose	0.0003539	0.0004898	0.0	0.0005869	0.0002787	0.0008737	0.0007198	0.0012453	0.0011571	0.0011604	0.0004012	0.0003633	0.0014528	0.0090922	0.0413559	0.0599249	0.0612458	0.0457553	0.0348479	0.0330507	0.0302762	0.0207037	0.0189027	0.0112363	0.0064883	0.0046525	0.0052374	0.0048451	0.0049635	0.0041655	0.0058295	0.0044604	0.0041777	0.0033387	0.0034581	0.0134209	0.0136551	0.0222883	0.0190909	0.0143559	0.0041748	0.0071578	0.0043949	0.0026371	0.0029017	0.002664	0.0002482	0.0008895	AK
Ross's Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001614	0.0001399	0.0015	0.0006368	0.0014499	0.0014444	0.000348	0.0002082	0.0001312	5.51e-05	0.0002262	0.0002273	0.0015	0.0002181	8.45e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AK
Graylag Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.23e-05	0.0	5.69e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001857	0.0	0.0001889	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AK
Swan Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001211	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AK
Greater White-fronted Goose	0.0005308	0.0004898	0.0015	0.0005869	0.0002787	0.0006553	0.000144	0.0	0.0	0.0	0.001003	0.0001211	0.003067	0.0188838	0.0871671	0.1591416	0.1587983	0.1106141	0.0783953	0.0703852	0.0838418	0.0850999	0.0867584	0.0635859	0.0454183	0.0374382	0.0261869	0.0220579	0.0285173	0.0390041	0.0419919	0.0364748	0.0281231	0.0182959	0.0160878	0.018314	0.0252525	0.0130015	0.0143182	0.0143559	0.006123	0.0035789	0.0027045	0.0007911	0.002539	0.002664	0.0032266	0.0002224	AK
Lesser White-fronted Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002082	0.0015	0.0	9.69e-05	0.0001948	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AK
Taiga Bean-Goose	0.0	0.0	0.0	0.0	0.0	0.0002184	0.0	0.0	0.0	0.0015	0.0002006	0.0015	0.0015	0.0015	0.0	0.0015	0.0	0.0	0.0015	0.0003867	0.000328	5.51e-05	0.0001292	3.25e-05	0.0015	7.27e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0001857	0.0006818	0.0	0.0	0.0	0.0	0.0002637	0.0	0.0	0.0002482	0.0	AK
Tundra Bean-Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0006989	0.0023862	0.0022311	0.0010497	0.0002203	0.0005816	0.0015	0.0001707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0004006	0.0004511	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AK
Brant	0.0003539	0.0009797	0.0009681	0.0007825	0.0075251	0.0037134	0.0025914	0.0042341	0.0030086	0.0018566	0.0036108	0.0026641	0.0024213	0.0068541	0.0109443	0.0163026	0.0248811	0.0302861	0.0297773	0.0564331	0.0720331	0.0569352	0.0494378	0.038223	0.0258964	0.0189008	0.0125021	0.0108377	0.0110098	0.0123071	0.0153147	0.0216547	0.0230283	0.0360577	0.0383401	0.0476723	0.0561167	0.0462481	0.0279545	0.0187004	0.0175341	0.0116314	0.0047329	0.0044831	0.0014509	0.001998	0.0002482	0.0011119	AK
Barnacle Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0001857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AK
Cackling Goose	0.0008846	0.0004898	0.0009681	0.0015	0.0002787	0.0006553	0.0004319	0.0002491	0.0004629	0.0002321	0.0015	0.0016953	0.0033898	0.0083928	0.0529782	0.0877539	0.0950586	0.0804212	0.0716842	0.0586643	0.0543856	0.0365619	0.0319245	0.0259475	0.0220831	0.0175196	0.0113195	0.0055463	0.0060464	0.0102244	0.0133386	0.0197842	0.0289383	0.0415331	0.0646519	0.0629107	0.0476992	0.0390045	0.0379545	0.0307896	0.0183691	0.0116314	0.0067613	0.0021097	0.0047153	0.003663	0.0007446	0.0011119	AK
Canada Goose	0.0461783	0.0453098	0.0508228	0.0530125	0.053233	0.0541721	0.0512525	0.0552927	0.0682712	0.0652123	0.0768305	0.077985	0.1128329	0.1913554	0.2843584	0.2828759	0.250029	0.1727705	0.1624577	0.1274431	0.0976842	0.0762899	0.0675326	0.0643653	0.0486056	0.0536493	0.0503463	0.0607548	0.0831152	0.0956168	0.1150084	0.1127338	0.1076014	0.0945513	0.0962261	0.0844401	0.0935279	0.0865527	0.1025	0.084813	0.0642917	0.0641217	0.0622042	0.0603903	0.0536815	0.0749251	0.0595681	0.0564821	AK
Trumpeter Swan	0.0373319	0.0296351	0.0372701	0.0379499	0.0404125	0.0345129	0.0286496	0.0316314	0.0310113	0.0357392	0.0407222	0.0622427	0.0947538	0.1295286	0.1301695	0.1137999	0.1001044	0.0690989	0.0579638	0.0483118	0.0379846	0.037085	0.0387424	0.0345858	0.0265225	0.0274062	0.0275384	0.0278592	0.0340222	0.0418442	0.0375457	0.0394964	0.0434074	0.0400641	0.0467599	0.0553614	0.060419	0.0679792	0.0827273	0.0608236	0.0509324	0.055771	0.0398918	0.0450949	0.0369967	0.040626	0.0295359	0.0415833	AK
Tundra Swan	0.0019462	0.0012246	0.000726	0.0015649	0.0005574	0.0019659	0.0010078	0.0017435	0.00162	0.0027849	0.0042126	0.0061758	0.0108152	0.0167856	0.0192736	0.0310769	0.028999	0.0257665	0.033456	0.053845	0.0797087	0.0775838	0.0718948	0.0593966	0.0537849	0.0476883	0.0316776	0.0214204	0.0150708	0.0146739	0.0204525	0.0295683	0.0319951	0.0289797	0.030221	0.0335524	0.0433969	0.0375186	0.0331818	0.0306007	0.0194823	0.0116314	0.0077755	0.0026371	0.0010881	0.001665	0.0014892	0.0026684	AK
Whooper Swan	0.0014154	0.0012246	0.000242	0.0015	0.0002787	0.0015	0.000144	0.0015	0.0004629	0.0015	0.0004012	0.0015	0.0004843	0.0001399	0.0015	6.37e-05	0.000116	0.0001398	0.0009942	0.0008032	0.0003936	2.75e-05	0.0002585	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0001871	0.0	0.0002273	0.0001889	0.0015	0.0015	0.0015	0.0015	0.0014509	0.001665	0.0002482	0.0013342	AK
Muscovy Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002273	0.0	0.0	0.0	0.0003381	0.0	0.0	0.0	0.0	0.0	AK
Wood Duck	0.0033616	0.0026941	0.0012101	0.0029343	0.0033445	0.0013106	0.0012957	0.0017435	0.0039343	0.0025528	0.0014042	0.0012109	0.0032284	0.0032172	0.0020339	0.0020378	0.0022039	0.0013512	0.0007457	0.000833	0.000492	0.0007984	0.001034	0.0007794	0.0011952	0.0006543	0.0008447	0.000765	0.0010829	0.000852	0.0008892	0.0008633	0.0003057	0.0002671	0.0015	0.0002796	0.0001871	0.0033432	0.0013636	0.003589	0.0083496	0.0095437	0.0070994	0.005538	0.0032644	0.002664	0.0029784	0.0028908	AK
Mandarin Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.69e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AK
Baikal Teal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	4.97e-05	0.0015	0.0	0.0015	0.0	0.0015	0.0	0.0	0.0	0.0015	0.0	0.0	9.88e-05	0.0002878	0.0003057	0.0021368	0.004661	0.0026562	0.0005612	0.0001857	0.0015	0.0	0.0015	0.0	0.0003381	0.0	0.0	0.0	0.0015	0.0	AK
Garganey	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.69e-05	0.0015	0.0015	0.0015	0.0012428	0.000952	0.0001968	0.0015	0.0015	3.25e-05	5.69e-05	0.0015	0.0	0.0	0.0015	0.0	0.0	0.0015	0.0006114	0.0024038	0.0055631	0.0047533	0.0035541	0.0003715	0.0	0.0001889	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AK
Blue-winged Teal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0004843	0.0009552	0.0039439	0.0131395	0.0186916	0.0165402	0.0098078	0.0060019	0.0042975	0.0043516	0.0040979	0.0029805	0.0031255	0.0029326	0.0036098	0.0033135	0.0024701	0.0028777	0.0042796	0.0028045	0.0030071	0.0018174	0.0024317	0.0005572	0.0009091	0.0003778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AK
Cinnamon Teal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0001614	0.0015	9.69e-05	0.0003821	0.000638	0.0003728	0.0003977	0.000476	0.0001312	8.26e-05	0.0015	3.25e-05	0.0015	0.0	8.45e-05	0.0015	0.0	0.0	0.0	7.19e-05	0.0	0.0	0.0001504	0.0002796	0.0	0.0001857	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AK
Northern Shoveler	0.0028309	0.0034289	0.0033882	0.004108	0.0033445	0.0039318	0.0027354	0.0034869	0.0062486	0.0071942	0.0058175	0.010293	0.012268	0.0193034	0.0489104	0.1315035	0.2311217	0.2464822	0.2166932	0.1565373	0.1024405	0.0701779	0.0510211	0.0390024	0.0314172	0.0298052	0.0250042	0.0252454	0.040971	0.0538673	0.0705464	0.0717986	0.0667414	0.0671741	0.0666065	0.078848	0.0826786	0.0681649	0.0643182	0.0394787	0.0175341	0.0202803	0.0108181	0.0079114	0.005078	0.006993	0.0081906	0.0046698	AK
Gadwall	0.0207006	0.0249816	0.0222652	0.0273865	0.0298216	0.0249017	0.0213072	0.0236613	0.0226799	0.0280808	0.0250752	0.0466215	0.0692494	0.0788922	0.0881356	0.092339	0.0804431	0.066909	0.0624876	0.0486985	0.036607	0.0251087	0.0211322	0.0229922	0.0136596	0.015048	0.01284	0.0138977	0.0147099	0.0142005	0.0164015	0.0209353	0.0237416	0.0265759	0.0261615	0.0376066	0.0495698	0.0468053	0.0472727	0.0447677	0.0367381	0.0292276	0.025355	0.0239979	0.0203119	0.025308	0.0282949	0.0284634	AK
Falcated Duck	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0033639	0.0004659	0.0004474	0.0011007	0.0017057	0.0007434	0.0011632	0.0048063	0.0003984	0.0002908	0.0	0.0015	0.0	0.0	0.0	0.0	0.0001019	0.0002671	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AK
Eurasian Wigeon	0.0092003	0.0095518	0.0062924	0.0078247	0.0075251	0.00699	0.0070544	0.0089664	0.0134228	0.0099791	0.0120361	0.0145314	0.0171106	0.0229403	0.0317676	0.0326052	0.0245331	0.02134	0.0353947	0.031712	0.0150561	0.0076538	0.0048145	0.0016887	0.0011383	0.0010904	0.0001689	0.000255	0.0002707	0.0015	0.0001976	0.0023741	0.0093744	0.0168269	0.0329274	0.0465539	0.0327348	0.0250743	0.0154545	0.010578	0.0058447	0.0053683	0.0084517	0.0068565	0.0054407	0.010656	0.0052122	0.0124527	AK
American Wigeon	0.0392781	0.0394318	0.0331559	0.0446009	0.0356745	0.0356051	0.03556	0.0381071	0.0393427	0.0368995	0.0409228	0.0521918	0.064891	0.0846272	0.144891	0.2150544	0.2880176	0.2912124	0.268791	0.2174922	0.164797	0.1230659	0.0891819	0.0734258	0.056403	0.0532131	0.0478121	0.0444983	0.0592907	0.073464	0.1038435	0.1189209	0.1232933	0.130609	0.1423846	0.1613309	0.174523	0.1511887	0.1368182	0.1227805	0.0873922	0.0656129	0.066261	0.0493143	0.0359086	0.0546121	0.0444279	0.0431399	AK
Eastern Spot-billed Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0	0.0	0.0	9.94e-05	0.0005057	0.0015	2.75e-05	9.69e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002796	0.0001871	0.0	0.0	0.0	0.0002783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AK
Mallard	0.2604388	0.2549596	0.2664569	0.2654538	0.2603122	0.2370031	0.2156637	0.2518057	0.2531821	0.2657229	0.2864594	0.3354323	0.3791768	0.4315289	0.4632446	0.4644335	0.4331284	0.3711211	0.3410718	0.2614309	0.1676507	0.1146413	0.1056934	0.1059656	0.0995447	0.1120238	0.1079574	0.1264822	0.1521523	0.1757077	0.1996838	0.2069065	0.2051151	0.2162126	0.2482333	0.2826786	0.3269734	0.3408247	0.3863636	0.3862864	0.349012	0.3364152	0.3248817	0.2890295	0.2829162	0.3160173	0.279722	0.2715143	AK
American Black Duck	0.0015	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.8e-05	0.0	0.0015	2.97e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006671	AK
Northern Pintail	0.0143312	0.0164095	0.0123427	0.013302	0.0183946	0.0148536	0.0126692	0.0154421	0.0196714	0.0187979	0.0220662	0.0392347	0.0684423	0.136103	0.2012591	0.2609056	0.304547	0.2705712	0.225691	0.2143388	0.1942203	0.1443753	0.1245961	0.1004449	0.0869664	0.0763303	0.0631019	0.0724213	0.0896129	0.1012023	0.119751	0.1365468	0.1446913	0.1362179	0.1541122	0.1679016	0.1335578	0.0965825	0.0706818	0.0434454	0.0300584	0.0253504	0.0196078	0.0174051	0.0163221	0.015651	0.019856	0.0186791	AK
Green-winged Teal	0.0274239	0.0281656	0.0191191	0.0217136	0.0234114	0.0200961	0.0187158	0.01868	0.0247628	0.0206544	0.0242728	0.0285783	0.0379338	0.0574906	0.1266828	0.2044832	0.3017051	0.29275	0.2666534	0.2264763	0.1655842	0.1157701	0.0943195	0.0840776	0.0708025	0.067098	0.0592161	0.0682137	0.1011642	0.1114267	0.1435629	0.1586331	0.1557978	0.1619925	0.1831304	0.1934853	0.1565657	0.1157132	0.0972727	0.0712127	0.0640134	0.047122	0.0429344	0.0356013	0.0311933	0.033966	0.0297841	0.0306871	AK
Canvasback	0.0042463	0.0019593	0.0012101	0.0046948	0.0025084	0.0028397	0.0020155	0.0022416	0.0009257	0.0013924	0.0014042	0.0010899	0.0022599	0.0064345	0.0182082	0.0308858	0.054692	0.0504613	0.0334062	0.0191284	0.0134816	0.0093882	0.006204	0.0039295	0.0048947	0.0039256	0.0029566	0.0039526	0.0032488	0.0035975	0.0031617	0.0031655	0.0042796	0.0048077	0.0045106	0.0082483	0.0119716	0.0195022	0.0252273	0.0204005	0.0172558	0.0098419	0.0060852	0.003692	0.0032644	0.008325	0.0064532	0.0053369	AK
Redhead	0.0026539	0.0019593	0.0019361	0.0013693	0.0005574	0.0010922	0.0005759	0.0009963	0.0009257	0.0004641	0.0004012	0.0032696	0.0088781	0.008113	0.0091041	0.0075145	0.0153114	0.0176591	0.0153609	0.0100253	0.0074788	0.0064424	0.0031989	0.0018511	0.0021059	0.0012358	0.0010137	0.00153	0.0018049	0.0014201	0.0014821	0.0003597	0.0013246	0.0008013	0.0004511	0.0025164	0.0014964	0.0044577	0.0093182	0.0117114	0.0114111	0.0047718	0.0054091	0.0015823	0.002539	0.002331	0.0017374	0.0026684	AK
Common Pochard	0.0010616	0.0009797	0.000726	0.0003912	0.0008361	0.0008737	0.0002879	0.0007472	0.0002314	0.0002321	0.0002006	0.0001211	0.0015	0.0	0.0	6.37e-05	0.0015	0.0002796	0.0022867	0.0017552	0.0005248	0.0002753	0.0001616	9.74e-05	0.0002277	7.27e-05	0.0015	0.0001913	0.0001805	0.000284	0.0	0.0	0.0002038	0.0	0.0	0.0	0.0015	0.0022288	0.0018182	0.0013223	0.0	0.0	0.0	0.0	0.0	0.0	0.0002482	0.001779	AK
Ring-necked Duck	0.0139774	0.0073475	0.0070184	0.0093897	0.0055741	0.005024	0.0071984	0.0054795	0.0067114	0.0067301	0.0062187	0.0070235	0.0167877	0.0201427	0.031477	0.0361078	0.056606	0.071382	0.0759594	0.0540235	0.0338188	0.0224657	0.0185796	0.0166272	0.0151394	0.0112678	0.0116574	0.0091164	0.0111001	0.010603	0.0111649	0.0148921	0.0177298	0.0174947	0.0207488	0.0341116	0.0398429	0.0507058	0.0668182	0.0578013	0.0442527	0.029824	0.0270453	0.0195148	0.0174102	0.024309	0.0156366	0.0164554	AK
Tufted Duck	0.0060156	0.0051433	0.0041142	0.0037167	0.0016722	0.003495	0.0035992	0.0029888	0.0046286	0.0027849	0.0032096	0.0026641	0.0029056	0.0018184	0.0013559	0.0007642	0.001218	0.0036343	0.0147644	0.0161238	0.0052155	0.0021475	0.0009694	0.0007144	0.0005122	0.0002181	0.0005068	0.0003188	0.0001805	0.0003787	0.0007904	0.0007194	0.0009171	0.0018697	0.0034581	0.002796	0.0035541	0.0052006	0.0045455	0.0015111	0.0011133	0.0005965	0.0013523	0.0026371	0.0029017	0.00333	0.0017374	0.0031132	AK
Greater Scaup	0.0573248	0.0614744	0.0592933	0.0590767	0.0660535	0.0587593	0.0561474	0.0617684	0.0685027	0.0656765	0.0627884	0.0611528	0.0561743	0.0646244	0.0627603	0.0718334	0.0895488	0.119234	0.1592762	0.1646884	0.1613856	0.1229007	0.1010081	0.0733933	0.0531019	0.0473248	0.0407163	0.0376132	0.0347442	0.0320932	0.0326055	0.0367626	0.0439169	0.0571581	0.0783341	0.1075073	0.1109241	0.111627	0.0956818	0.0899131	0.0709713	0.0596481	0.0527383	0.0487869	0.0525934	0.0612721	0.0680069	0.0631532	AK
Lesser Scaup	0.0139774	0.0117561	0.0128267	0.0146714	0.0111483	0.0100481	0.0074863	0.0109589	0.0090257	0.0088188	0.0116349	0.0119884	0.0129136	0.0148272	0.0161743	0.021843	0.0373507	0.0651384	0.0787433	0.0614904	0.0444138	0.0396729	0.0341864	0.0270516	0.0212294	0.0147572	0.0154587	0.0147903	0.0144391	0.0153366	0.0160063	0.0189209	0.0216018	0.022703	0.0252594	0.0388648	0.0514403	0.0557207	0.0643182	0.0561012	0.0389647	0.0289293	0.0179175	0.0166139	0.0116068	0.013653	0.016133	0.0140093	AK
Steller's Eider	0.0185775	0.0181239	0.0152469	0.0142801	0.0181159	0.0166011	0.0139649	0.0144458	0.0173571	0.0206544	0.0180542	0.0158634	0.0082324	0.0058749	0.0028087	0.0031841	0.0021459	0.0019104	0.0026347	0.0131489	0.0237158	0.0207863	0.018418	0.0130549	0.0068867	0.0055249	0.0050684	0.0047176	0.0023464	0.0030294	0.0033594	0.0101439	0.0102914	0.0150908	0.0207488	0.0274011	0.0289936	0.0230312	0.0225	0.0149226	0.0083496	0.0071578	0.0057471	0.0105485	0.0177729	0.014985	0.0171258	0.0309095	AK
Spectacled Eider	0.0003539	0.0004898	0.000242	0.0015	0.0015	0.0015	0.0015	0.0	0.0002314	0.0015	0.0	0.0015	0.0001614	0.0001399	0.0015	6.37e-05	0.000174	0.0034945	0.0083018	0.0142198	0.0229614	0.0254116	0.0292103	0.0218556	0.0122937	0.0129398	0.0101368	0.0077776	0.0029781	0.0023668	0.0019761	0.004964	0.0076421	0.0064103	0.0088708	0.0124423	0.0181444	0.0241456	0.0029545	0.0030223	0.0044531	0.0026842	0.0013523	0.0013186	0.0003627	0.000666	0.0009928	0.0002224	AK
King Eider	0.0084926	0.0041636	0.0060503	0.004108	0.0030658	0.003495	0.0037432	0.0027397	0.0074057	0.0046414	0.0042126	0.002543	0.0022599	0.0025178	0.0011622	0.0014647	0.0018559	0.0041003	0.0120302	0.0356983	0.051007	0.043252	0.0435569	0.0370214	0.0270347	0.028424	0.0241595	0.0219304	0.0138977	0.0119284	0.0159075	0.0325899	0.0471775	0.0431357	0.0398436	0.0482315	0.0684624	0.0663076	0.0152273	0.0071779	0.0119677	0.0113331	0.0067613	0.0042194	0.010156	0.004995	0.0047158	0.0084501	AK
Common Eider	0.0113234	0.0159197	0.0067764	0.0060642	0.0083612	0.0039318	0.0034552	0.0032379	0.0074057	0.0048735	0.0048144	0.0046016	0.0035513	0.0041964	0.003293	0.0039483	0.0064378	0.0130463	0.0357924	0.0661312	0.0760677	0.0403887	0.0305351	0.0250706	0.0258964	0.0240622	0.0247508	0.027413	0.0222904	0.0184607	0.0153147	0.0210072	0.0273079	0.0365919	0.060442	0.0647281	0.0643472	0.0663076	0.0177273	0.0124669	0.0169775	0.0134208	0.0138607	0.0123945	0.0130577	0.015651	0.011169	0.0113409	AK
Harlequin Duck	0.1266808	0.1339701	0.1272991	0.139867	0.1404682	0.1188292	0.1095595	0.1325031	0.1326082	0.1301926	0.137011	0.1076532	0.096368	0.0896629	0.0761259	0.0710692	0.0778332	0.0892275	0.1045436	0.1270564	0.1177918	0.0691317	0.0508595	0.0466665	0.0508253	0.0551032	0.0533874	0.0536147	0.0589297	0.0621982	0.0705464	0.0866187	0.124516	0.1423611	0.1801233	0.2022927	0.1855593	0.1452452	0.1377273	0.1388364	0.1405511	0.1395765	0.1450304	0.1540084	0.1595938	0.1478521	0.1456937	0.1621081	AK
Surf Scoter	0.0847488	0.0967426	0.0907551	0.1023083	0.1095318	0.0932722	0.0948747	0.1163138	0.1152511	0.1306568	0.1321966	0.106079	0.096368	0.0886837	0.0805811	0.0717697	0.0785872	0.0829839	0.0691489	0.043909	0.034114	0.0260724	0.026593	0.0309486	0.0414912	0.0481245	0.0500929	0.0406732	0.0434979	0.0380574	0.0402134	0.0391367	0.0465661	0.0594284	0.0703654	0.0808053	0.0849233	0.0783804	0.0754545	0.0817907	0.0804342	0.0826126	0.0753888	0.0838608	0.0787087	0.0922411	0.1067262	0.0987325	AK
White-winged Scoter	0.0626327	0.068577	0.0648596	0.0633803	0.078874	0.0576671	0.0568673	0.0665006	0.0768341	0.0842423	0.0756269	0.0629692	0.0589185	0.0600084	0.0525908	0.0469974	0.0529521	0.0642997	0.0630344	0.0611632	0.0486125	0.0324872	0.0259144	0.0243237	0.032214	0.0362751	0.0365771	0.0340431	0.0353759	0.0344599	0.0366565	0.0333094	0.0386183	0.0555556	0.0738235	0.0910108	0.1200898	0.1339153	0.1259091	0.1099358	0.1049262	0.076946	0.0720081	0.0712025	0.0805223	0.0725941	0.0821544	0.0744941	AK
Stejneger's Scoter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001398	0.0	0.0013982	0.002821	0.0007984	0.0006462	0.0001624	0.0	0.0	0.0015	6.38e-05	0.0015	0.0	9.88e-05	0.0	0.0	0.0	0.0	0.0	0.0001871	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AK
Black Scoter	0.0521939	0.0634337	0.0573572	0.0549687	0.0618729	0.049585	0.0515405	0.0513076	0.0576255	0.067301	0.0607823	0.052434	0.0397094	0.0402854	0.0317676	0.0249634	0.0221552	0.0258131	0.0329091	0.0403986	0.0446762	0.024916	0.0178041	0.0114636	0.0109277	0.0103955	0.0087008	0.0061839	0.0090245	0.0075736	0.00909	0.0080576	0.0105971	0.0157585	0.0281161	0.0575982	0.0639731	0.0551634	0.0529545	0.0544012	0.0545505	0.0551745	0.0524003	0.0609177	0.0714545	0.0619381	0.0652767	0.0789415	AK
Long-tailed Duck	0.0875796	0.1018859	0.0968054	0.09018	0.1061873	0.0764526	0.0840772	0.0951432	0.089794	0.0946855	0.0854564	0.0666021	0.0471348	0.039586	0.0319613	0.0245176	0.026389	0.0392321	0.0549314	0.1002529	0.1238929	0.1099334	0.1010728	0.0847595	0.07786	0.0710236	0.0601453	0.0508096	0.036549	0.0303891	0.0317162	0.0402878	0.0510495	0.0562233	0.0613442	0.0712988	0.0952114	0.1041976	0.0575	0.0787684	0.0985249	0.093051	0.0936444	0.0899262	0.0950308	0.0919081	0.1144205	0.1082944	AK
