Species	JanWk1	JanWk2	JanWk3	JanWk4	FebWk1	FebWk2	FebWk3	FebWk4	MarWk1	MarWk2	MarWk3	MarWk4	AprWk1	AprWk2	AprWk3	AprWk4	MayWk1	MayWk2	MayWk3	MayWk4	JunWk1	JunWk2	JunWk3	JunWk4	JulWk1	JulWk2	JulWk3	JulWk4	AugWk1	AugWk2	AugWk3	AugWk4	SepWk1	SepWk2	SepWk3	SepWk4	OctWk1	OctWk2	OctWk3	OctWk4	NovWk1	NovWk2	NovWk3	NovWk4	DecWk1	DecWk2	DecWk3	DecWk4	State
Pygmy Nuthatch	0.0160034	0.0190935	0.0183878	0.0266994	0.0241881	0.0206468	0.0180037	0.0248707	0.0173262	0.0262498	0.0240085	0.0312879	0.0306519	0.0318232	0.0363508	0.0310931	0.027892	0.0381805	0.0293858	0.0308789	0.0309254	0.0264097	0.0312915	0.0372788	0.0431812	0.0463664	0.0532374	0.0479052	0.0516679	0.0504302	0.051532	0.0494606	0.0404372	0.0408939	0.0328856	0.033717	0.0265638	0.0345739	0.0328372	0.0190194	0.0212253	0.0131394	0.0163934	0.0124294	0.0165335	0.0111111	0.0170607	0.0160893	NV
Red-breasted Nuthatch	0.0300241	0.0318226	0.0273031	0.0297683	0.0259798	0.0259456	0.026087	0.0250696	0.0216578	0.0204594	0.0254313	0.0204948	0.0255173	0.0268067	0.0294201	0.0246234	0.0283365	0.0286097	0.0217631	0.0214568	0.0275411	0.022433	0.0356409	0.0352022	0.0449259	0.0499621	0.041247	0.0432692	0.0574367	0.0611855	0.071727	0.0763485	0.0762842	0.0748603	0.0877721	0.0941806	0.0976864	0.0863246	0.080085	0.0535683	0.0458273	0.0335523	0.0443135	0.03371	0.0292091	0.0271003	0.0311967	0.0272533	NV
Brown Creeper	0.0145872	0.0140791	0.0143016	0.016572	0.0170213	0.0147999	0.0101653	0.0125348	0.0080725	0.014862	0.0128046	0.0149163	0.014159	0.0126979	0.0148515	0.0128428	0.0133348	0.0208912	0.0139196	0.0193983	0.0231065	0.0220251	0.0251299	0.0309503	0.0405641	0.0420136	0.0446043	0.0461882	0.0519187	0.0566444	0.0508357	0.0476349	0.0338798	0.0301676	0.0231589	0.0233425	0.0179949	0.0268663	0.0240964	0.0183214	0.0231548	0.0215861	0.0194672	0.0190207	0.0157068	0.0143631	0.0194979	0.015761	NV
Blue-gray Gnatcatcher	0.0164283	0.0150434	0.0152303	0.0145773	0.0134378	0.0113283	0.0097979	0.0133307	0.0147667	0.0123528	0.0152943	0.0195246	0.0365645	0.0551811	0.0780764	0.0921205	0.0844538	0.081095	0.085506	0.08654	0.0792391	0.0750484	0.067899	0.0700089	0.0572841	0.0433384	0.0455635	0.0503091	0.0554301	0.042782	0.051532	0.0575934	0.0450273	0.0556425	0.0502547	0.0291781	0.0199229	0.0207003	0.0231514	0.0221602	0.023396	0.0288597	0.017418	0.012806	0.0151557	0.0184282	0.0190105	0.0218355	NV
Black-tailed Gnatcatcher	0.0848322	0.0973963	0.0952823	0.0983581	0.1048152	0.0844144	0.0770361	0.1002786	0.0982477	0.0939973	0.0933665	0.0885278	0.0832426	0.0802634	0.0752475	0.076574	0.0655628	0.0588659	0.0472824	0.0486144	0.0407282	0.0329357	0.0314123	0.0291704	0.0364932	0.0475019	0.0570743	0.0606113	0.0594432	0.0619025	0.0552461	0.0592531	0.0679781	0.0661453	0.0722557	0.070676	0.0687661	0.0684871	0.0793763	0.0746816	0.0689822	0.0900985	0.0957992	0.0949153	0.0890052	0.1051491	0.0862783	0.1035955	NV
Rock Wren	0.043195	0.0343298	0.0406761	0.0337579	0.0284434	0.0279554	0.0276791	0.0413848	0.0352432	0.0442	0.0455273	0.0512976	0.0527462	0.045932	0.0611033	0.0474121	0.0470052	0.0475455	0.0519222	0.0534442	0.064535	0.0787193	0.0662076	0.0717888	0.071387	0.0698335	0.0508393	0.0600962	0.0514171	0.0456501	0.0557103	0.059751	0.0456831	0.043352	0.0497916	0.0411736	0.048629	0.0458049	0.0552799	0.0533938	0.052822	0.0678085	0.0571209	0.0538606	0.0484982	0.0452575	0.0499634	0.052044	NV
Canyon Wren	0.0058065	0.0030858	0.0046434	0.005524	0.006047	0.0078568	0.0045315	0.0085555	0.0068911	0.0094576	0.012271	0.0127334	0.00918	0.0108167	0.0115983	0.0109115	0.0067785	0.0094679	0.0104949	0.0149644	0.0138873	0.0082594	0.0089404	0.0088994	0.009305	0.006813	0.0095923	0.0128777	0.0155505	0.0107553	0.0136955	0.0111203	0.0080874	0.0046927	0.0071792	0.0042146	0.0053556	0.005065	0.0068509	0.0068051	0.0067535	0.0070389	0.0064037	0.0043315	0.0041334	0.0070461	0.0080429	0.0036119	NV
Northern House Wren	0.003399	0.0034716	0.003529	0.0036827	0.0031355	0.0029234	0.0031843	0.005969	0.0039378	0.0025092	0.0046239	0.008974	0.0238058	0.0346449	0.0570014	0.0896099	0.1041227	0.1083668	0.1113566	0.109422	0.104563	0.1063526	0.1118763	0.1243943	0.1414655	0.1400454	0.1031175	0.0863668	0.0672185	0.0700287	0.071727	0.0713693	0.0627322	0.0648045	0.0474757	0.0444156	0.0274207	0.0207003	0.0151193	0.0116908	0.011095	0.0138433	0.0084529	0.0056497	0.0030311	0.0051491	0.0031684	0.0041044	NV
Pacific Wren	0.0024076	0.0032787	0.0014859	0.001381	0.0022396	0.0029234	0.0015922	0.0019897	0.003544	0.0025092	0.001067	0.0004851	0.0018671	0.0003135	0.0002829	0.0005794	0.0012224	0.0006175	0.0007733	0.0005542	0.0009336	0.0006118	0.0006041	0.0010877	0.0018901	0.0018925	0.0014388	0.0008585	0.0002508	0.000956	0.001857	0.000166	0.0008743	0.0013408	0.0011579	0.0025936	0.0034276	0.0035235	0.0040161	0.0024429	0.0019296	0.0030502	0.0023053	0.0016949	0.0046845	0.001355	0.0036559	0.002791	NV
Winter Wren	0.0005665	0.0007715	0.0011144	0.0006138	0.0006719	0.0	0.0	0.0	0.0003938	0.000193	0.0	0.0	0.0	0.0001568	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002412	0.0032848	0.0035861	0.0022599	0.0008267	0.001897	0.0017061	0.0021343	NV
Sedge Wren	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NV
Marsh Wren	0.0941793	0.0954677	0.096211	0.0946755	0.1095185	0.09556	0.0896509	0.1335058	0.1352628	0.149971	0.155433	0.1335193	0.1184067	0.1044051	0.0981612	0.0854577	0.063896	0.0529999	0.0476138	0.0415677	0.0389777	0.035179	0.0384197	0.0399486	0.0411457	0.0475019	0.0585132	0.0504808	0.0506647	0.0595124	0.068013	0.0693776	0.0692896	0.0875978	0.0840667	0.1000162	0.1083976	0.1202378	0.1254429	0.1291223	0.1278341	0.1412482	0.1298668	0.1145009	0.1135299	0.10271	0.1196685	0.0980135	NV
Bewick's Wren	0.0940377	0.0819672	0.089153	0.1075648	0.1050392	0.1012242	0.0998163	0.1247513	0.1204962	0.1376182	0.1401387	0.1389765	0.1356776	0.1321524	0.1355021	0.1360564	0.1254584	0.1297726	0.1246133	0.1280285	0.1251021	0.0898338	0.0964117	0.1025413	0.1017738	0.0832702	0.0880096	0.0760646	0.0724856	0.0592734	0.0738162	0.0904564	0.1046995	0.12	0.1185734	0.1291944	0.124036	0.1244219	0.1287503	0.1212703	0.1070912	0.1142656	0.1073258	0.1210923	0.116561	0.101084	0.1247867	0.0999836	NV
Cactus Wren	0.0060898	0.0063645	0.0087296	0.0075188	0.0087346	0.0100493	0.0102878	0.0123359	0.0108289	0.0169851	0.0133381	0.0192821	0.0196048	0.0153629	0.0226308	0.02472	0.0337815	0.0337553	0.0347989	0.0281077	0.0156378	0.0119303	0.0070074	0.0038564	0.004071	0.0026495	0.0059952	0.0037775	0.0105342	0.0026291	0.0053389	0.0056432	0.0059016	0.0035754	0.0041686	0.0050251	0.0068552	0.0055054	0.0089771	0.008201	0.0072359	0.0079775	0.005123	0.0056497	0.006889	0.0078591	0.0095052	0.0087014	NV
American Dipper	0.0101969	0.0086789	0.009844	0.0078257	0.0051512	0.0065777	0.0042866	0.005969	0.0047253	0.0028952	0.0037347	0.0041232	0.0052902	0.0034488	0.0033946	0.0045384	0.0042227	0.0039107	0.0033142	0.0019002	0.0018672	0.0021413	0.0028996	0.0030654	0.004071	0.003785	0.0045564	0.0061813	0.0035114	0.0026291	0.0025534	0.0033195	0.002623	0.0075978	0.0034738	0.003242	0.0040703	0.0048447	0.0073234	0.0059326	0.0077183	0.0053965	0.0048668	0.007533	0.0088179	0.0097561	0.0102364	0.0070596	NV
